Date,Open,High,Low,Close,Volume,Adj Close
8/4/11,1855.69,1855.69,1855.69,1855.69,0,1855.69
8/3/11,1901.73,1901.73,1901.73,1901.73,0,1901.73
8/2/11,1968.14,1968.14,1968.14,1968.14,0,1968.14
8/1/11,1985.78,1985.78,1985.78,1985.78,0,1985.78
7/29/11,1965.02,1965.02,1965.02,1965.02,0,1965.02
7/28/11,1985.11,1985.11,1985.11,1985.11,0,1985.11
7/27/11,1976.18,1976.18,1976.18,1976.18,0,1976.18
7/26/11,1987.79,1987.79,1987.79,1987.79,0,1987.79
7/25/11,1979.54,1979.54,1979.54,1979.54,0,1979.54
7/22/11,1976.82,1976.82,1976.82,1976.82,0,1976.82
7/21/11,1972.5,1972.5,1972.5,1972.5,0,1972.5
7/20/11,1936.54,1936.54,1936.54,1936.54,0,1936.54
7/19/11,1926.23,1926.23,1926.23,1926.23,0,1926.23
7/18/11,1904.29,1904.29,1904.29,1904.29,0,1904.29
7/15/11,1938.54,1938.54,1938.54,1938.54,0,1938.54
7/14/11,1939.68,1939.68,1939.68,1939.68,0,1939.68
7/13/11,1936.42,1936.42,1936.42,1936.42,0,1936.42
7/12/11,1916.81,1916.81,1916.81,1916.81,0,1916.81
7/11/11,1919.08,1919.08,1919.08,1919.08,0,1919.08
7/8/11,1958.4,1958.4,1958.4,1958.4,0,1958.4
7/7/11,1976.9,1976.9,1976.9,1976.9,0,1976.9
7/6/11,1939.01,1939.01,1939.01,1939.01,0,1939.01
7/5/11,1953.07,1953.07,1953.07,1953.07,0,1953.07
7/4/11,1948.48,1948.48,1948.48,1948.48,0,1948.48
7/1/11,1937.57,1937.57,1937.57,1937.57,0,1937.57
6/30/11,1906.71,1906.71,1906.71,1906.71,0,1906.71
6/29/11,1894.58,1894.58,1894.58,1894.58,0,1894.58
6/28/11,1874.34,1874.34,1874.34,1874.34,0,1874.34
6/27/11,1842.2,1842.2,1842.2,1842.2,0,1842.2
6/24/11,1857.04,1857.04,1857.04,1857.04,0,1857.04
6/23/11,1829.97,1829.97,1829.97,1829.97,0,1829.97
6/22/11,1878.38,1878.38,1878.38,1878.38,0,1878.38
6/21/11,1872.45,1872.45,1872.45,1872.45,0,1872.45
6/20/11,1858.34,1858.34,1858.34,1858.34,0,1858.34
6/17/11,1878.55,1878.55,1878.55,1878.55,0,1878.55
6/16/11,1896.72,1896.72,1896.72,1896.72,0,1896.72
6/15/11,1919.05,1919.05,1919.05,1919.05,0,1919.05
6/14/11,1925.56,1925.56,1925.56,1925.56,0,1925.56
6/10/11,1926.02,1926.02,1926.02,1926.02,0,1926.02
6/9/11,1940.98,1940.98,1940.98,1940.98,0,1940.98
6/8/11,1911.41,1911.41,1911.41,1911.41,0,1911.41
6/7/11,1904.22,1904.22,1904.22,1904.22,0,1904.22
6/6/11,1865.64,1865.64,1865.64,1865.64,0,1865.64
6/3/11,1858.08,1858.08,1858.08,1858.08,0,1858.08
6/2/11,1883.09,1883.09,1883.09,1883.09,0,1883.09
6/1/11,1876.81,1876.81,1876.81,1876.81,0,1876.81
5/31/11,1888.6,1888.6,1888.6,1888.6,0,1888.6
5/30/11,1865.74,1865.74,1865.74,1865.74,0,1865.74
5/27/11,1858.39,1858.39,1858.39,1858.39,0,1858.39
5/26/11,1818.36,1818.36,1818.36,1818.36,0,1818.36
5/25/11,1808.13,1808.13,1808.13,1808.13,0,1808.13
5/24/11,1800.04,1800.04,1800.04,1800.04,0,1800.04
5/23/11,1765.04,1765.04,1765.04,1765.04,0,1765.04
5/20/11,1825.34,1825.34,1825.34,1825.34,0,1825.34
5/19/11,1859.14,1859.14,1859.14,1859.14,0,1859.14
5/18/11,1849.6,1849.6,1849.6,1849.6,0,1849.6
5/17/11,1828.89,1828.89,1828.89,1828.89,0,1828.89
5/16/11,1846.32,1846.32,1846.32,1846.32,0,1846.32
5/13/11,1866.3,1866.3,1866.3,1866.3,0,1866.3
5/12/11,1864.95,1864.95,1864.95,1864.95,0,1864.95
5/11/11,1908.46,1908.46,1908.46,1908.46,0,1908.46
5/10/11,1927.82,1927.82,1927.82,1927.82,0,1927.82
5/6/11,1936.29,1936.29,1936.29,1936.29,0,1936.29
5/5/11,1916.33,1916.33,1916.33,1916.33,0,1916.33
5/4/11,1949.94,1949.94,1949.94,1949.94,0,1949.94
5/3/11,1976.74,1976.74,1976.74,1976.74,0,1976.74
4/29/11,2026.94,2026.94,2026.94,2026.94,0,2026.94
4/28/11,2028.94,2028.94,2028.94,2028.94,0,2028.94
4/27/11,2017.64,2017.64,2017.64,2017.64,0,2017.64
4/26/11,2033.32,2033.32,2033.32,2033.32,0,2033.32
4/25/11,2030.93,2030.93,2030.93,2030.93,0,2030.93
4/22/11,2049.03,2049.03,2049.03,2049.03,0,2049.03
4/21/11,2040.6,2040.6,2040.6,2040.6,0,2040.6
4/20/11,2030.97,2030.97,2030.97,2030.97,0,2030.97
4/19/11,1988.12,1988.12,1988.12,1988.12,0,1988.12
4/18/11,1950.15,1950.15,1950.15,1950.15,0,1950.15
4/15/11,2030.32,2030.32,2030.32,2030.32,0,2030.32
4/14/11,2028.67,2028.67,2028.67,2028.67,0,2028.67
4/13/11,2062.47,2062.47,2062.47,2062.47,0,2062.47
4/12/11,2062.52,2062.52,2062.52,2062.52,0,2062.52
4/11/11,2113.55,2113.55,2113.55,2113.55,0,2113.55
4/8/11,2123.56,2123.56,2123.56,2123.56,0,2123.56
4/7/11,2089.52,2089.52,2089.52,2089.52,0,2089.52
4/6/11,2110.9,2110.9,2110.9,2110.9,0,2110.9
4/5/11,2088.64,2088.64,2088.64,2088.64,0,2088.64
4/4/11,2092.32,2092.32,2092.32,2092.32,0,2092.32
4/1/11,2076.78,2076.78,2076.78,2076.78,0,2076.78
3/31/11,2044.2,2044.2,2044.2,2044.2,0,2044.2
3/30/11,2035.92,2035.92,2035.92,2035.92,0,2035.92
3/29/11,2018.74,2018.74,2018.74,2018.74,0,2018.74
3/28/11,2045.06,2045.06,2045.06,2045.06,0,2045.06
3/25/11,2041.49,2041.49,2041.49,2041.49,0,2041.49
3/24/11,2027.89,2027.89,2027.89,2027.89,0,2027.89
3/23/11,1997,1997,1997,1997,0,1997
3/22/11,1976.38,1976.38,1976.38,1976.38,0,1976.38
3/21/11,1981.98,1981.98,1981.98,1981.98,0,1981.98
3/18/11,1962.92,1962.92,1962.92,1962.92,0,1962.92
3/17/11,1945.74,1945.74,1945.74,1945.74,0,1945.74
3/16/11,1915.95,1915.95,1915.95,1915.95,0,1915.95
3/15/11,1906.83,1906.83,1906.83,1906.83,0,1906.83
3/14/11,1944.91,1944.91,1944.91,1944.91,0,1944.91
3/11/11,1929.59,1929.59,1929.59,1929.59,0,1929.59
